Location,
KIXP,Kisumu Post Parcels (PPO)
Customs Hse  Times Tower,Kisumu Lake Basin Mall
AIRPORT CONTAINER DEPOT TO CUSTOMS HSE MSA,Kisumu Airport
Wilson Airport,Maralal
Egerton University Njoro,MIA Mombasa Baggage Hall
Sameer Park,Lodwar
ICD Naivasha SGR,CBC Upper Hill
City Hall,WAN Backhaul
Kajiado,Sameer Park MRI
Narok,JKIA Signon
Nairobi PPO,JKIA Exports
JKIA Terminal 2,BUNGOMA MICROWAVE
Kisumu Pier,BUSIAWIMAX
Kitale,DR BACKHAUL FIBRE
Lamu Airport,ELDORET KIPTAGICH MPLS FIBER
LWAKHAKHA,ELDORET KPC LOOP MICROWAVE
KOPANGA,HQINTERNET
SIO PORT,FORODHA JKIA LOOP FIBER
MARALAL,FORTISWESTLANDS LOOP FIBER
KIAMBU,GARISSA LOOP MICROWAVE
KISII LOOP CERAGON,ISIOLO LOOP MICROWAVE
KISUMULOOPMICROWAVE,ISEBANIAWIMAX
KITUI CERAGON,JKIA ACHIL SHED LOOP FIBER
TI MOMBASA WIMAX,JKIA SWISSPORT
LOITOKTOK BORDER WIMAX,KAKAMEGA LOOP CERAGON
LUNGA LUNGA WIMAX,KAJIADOLOOPFIBER
MACHAKOS LOOP FIBER,KERICHO FIBER
MALABAWIMAX,KILIFI MICROWAVE
MALINDIWIMAX,KILINDINI 20  Mbps MPLS
MANDERA,MBITA CERAGON
MERU LOOP CERAGON,PODO PARKKESRA LOOP FIBER
MOI AIRPORT MSA LOOP MICROWAVE,CITY SQUARE PPO
Moyale,SHIMONI WIMAX
MURANGA  15  Mbps MPLS,TAVETA CERAGON
NAIVASHA LOOP FIBER,THIKAWIMAX
NAIVASHA ICDMICROWAVE MPLS,VOI CERAGON
NAKURU GENERATION LOOP FIBER,WAJIR TOWN
NAKURU KPC MICROWAVE,USENGE 10  Mbps MPLS
NAMANGA WIMAX,BUSIAFIBRE
NANYUKI LOOP FIBER,FIXED 30th Floor 3001
NAROKLOOPCERAGON,FIXED 25th Floor 2575
NYERI CERAGON,KENYA SCHOOL OF REVENUE  FIBER
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,SIAYA
