lat,lon,TSO Name
-1.290278,36.8217003,Nairobi - Times Tower Building
-0.285359,36.064905,Nakuru - Generation House
-1.3298749,36.865326,Nairobi - Sameer Park
-1.258983072,36.79502824,Nairobi - Ushuru Pension Towers
0.52112,35.268203,Eldoret 
3.124411,35.611669,Lodwar - Customs House
1.01553,35.0011083,Kitale - Trans - Nzoia Women Plaza
-1.5162387,37.2616345,"Machakos, Sartaj Building, 3rd Floor, off Kangundo"
-0.2851198,36.0633087,Nakuru - Generation House
-1.0339247,37.0730209,Thika - Thika House 
-0.4277859,36.9526206,KRA Central Region Headquarters - Nyeri
-0.503365,37.2749683,Kerugoya - Machere Plaza
0.0071471,37.071429,Nanyuki - Ubii Plaza
-0.752162,37.064128,Murang'a - Ngeka Centre
1.1651,36.8241,Kiambu Mall
-4.0633338,39.6682077,Mombasa - Customs House
-3.206917,40.116022,Malindi - Malindi Complex
-3.393726,38.560999,Voi - Potter's House
-4.065511,39.616796,Lamu - Mkunguni Square
-4.2865643,39.5564676,Ukunda - Holding Meridian
-0.0656451,34.7724719,Kisumu - Lake Basin Mall
0.2791543,34.7509143,Kakamega - Posta House
-0.6745385,34.7701621,Kisii - Umoja Plaza
0.635165,34.2679716,Malaba OSBP
0.465112,34.0978743,Busia OSBP
-1.2440181,34.4669867,Isebania OSBP
-1.3298749,36.865326,Nairobi - Sameer Park
