Invoice_Date,Link_ID,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,Unique_Link_ID,Service_Provider
2023-10-06,SVC-000471031,01-Oct-2023 to 31-Dec-2023,SVC-000471031 Local Access 80MBPS-KRA-ICEA Building,116426,625418.64,116426_SVC-000471031,LTK
2023-10-06,SVC-000424243,01-Oct-2023 to 31-Dec-2023,SVC-000424243 Local Access 15MBPS-JKIA ROOF TOP PARKING,116426,111972.48,116426_SVC-000424243,LTK
2023-10-06,SVC-000355329,01-Oct-2023 to 31-Dec-2023,SVC-000355329 Local Access 20MBPS DIA KRA WILSON AIRPORT DTD OFFICE TO KRA HQ,116426,139200.0,116426_SVC-000355329,LTK
2023-10-06,SVC-000354038,01-Oct-2023 to 31-Dec-2023,SVC-000354038 Local Access 10MBPS KRA JKIA EXPORTS TO KRA HQ,116426,66123.306,116426_SVC-000354038,LTK
2023-10-06,SVC-000354016,01-Oct-2023 to 31-Dec-2023,SVC-000354016 Local Access 15MBPS KRA JKIA SIGNON TO KRA HQ,116426,111972.48,116426_SVC-000354016,LTK
2023-10-06,SVC-000352039,01-Oct-2023 to 31-Dec-2023,SVC-000352039 Local Access 10MBPA KRA KITENGELA MALL TO KRA TIMES TOWERS,116426,66120.0,116426_SVC-000352039,LTK
2023-10-06,SVC-000313856,01-Oct-2023 to 31-Dec-2023,SVC-000313856 Local Access 10Mbps - KRA HQ TO SUSWA INLAND CONTAINER DEPOT,116426,111972.48,116426_SVC-000313856,LTK
2023-10-06,SVC-000279767,01-Oct-2023 to 31-Dec-2023,SVC-000279767 Local Access 60MBPS KRA KISUMU PIPELINE TO VRF(#45513),116426,417600.0,116426_SVC-000279767,LTK
2023-10-06,SVC-000001477,01-Oct-2023 to 31-Dec-2023,SVC-000001477 Dedicated Internet Access 300Mbps - CBC CENTRE UPPER HILL,116426,1440720.0,116426_SVC-000001477,LTK
2023-10-06,SVC-000001475,01-Oct-2023 to 31-Dec-2023,SVC-000001475 Local Access 150Mbps - KRA TOWERS TO CBC CENTRE,116426,939600.0,116426_SVC-000001475,LTK
2023-10-06,SVC-000000055,01-Oct-2023 to 31-Dec-2023,SVC-000000055 Local Access 10Mbps - JKIA Terminal 1A,116426,139200.0,116426_SVC-000000055,LTK
2023-10-06,C-00159-0087,01-Oct-2023 to 31-Dec-2023,C-00159-0087 EPL Connection charge 80MBPS->SAMEER BUSINESS PARK,116426,417600.0,116426_C-00159-0087,LTK
2023-10-06,C-00159-0082,01-Oct-2023 to 31-Dec-2023,C-00159-0082 EPL Connection charge 10MBPS-POSTA GPO,116426,55680.0,116426_C-00159-0082,LTK
2023-10-06,C-00159-0079,01-Oct-2023 to 31-Dec-2023,C-00159-0079 EPL Connection charge 4MBPS-NSSF HAILESELASSIE,116426,33060.0,116426_C-00159-0079,LTK
2023-10-06,C-00159-0035,01-Oct-2023 to 31-Dec-2023,C-00159-0035 National MPLS 10Mbps - JKIA Terminal 1E,116426,139200.0,116426_C-00159-0035,LTK
2023-10-06,26046,01-Oct-2023 to 31-Dec-2023,26046 National MPLS KRA MBITA TO VRF (INS-57),116426,55986.24,116426_26046,LTK
2023-10-13,26046,01-Oct-2023 to 31-Dec-2023,26046 National MPLS KRA MBITA TO VRF (INS-57),CRN-15473,-55986.24,CRN-15473_26046,LTK
2023-10-06,25106,01-Oct-2023 to 31-Dec-2023,25106 National MPLS KRA KISUMU AIRPORT TO VRF(#45511),116426,66120.0,116426_25106,LTK
2023-10-06,25102,01-Oct-2023 to 31-Dec-2023,25102 National MPLS KRA KITALE TO VRF (#45509),116426,187920.0,116426_25102,LTK
2023-10-06,24174,01-Oct-2023 to 31-Dec-2023,24174 National MPLS KRA KISUMU PIER TO VRF(#48884),116426,66120.0,116426_24174,LTK
2023-10-06,23945,01-Oct-2023 to 31-Dec-2023,23945 National MPLS KRA JKIA TERMINAL 2 TO VRF#47507),116426,69600.0,116426_23945,LTK
2023-10-06,21195,01-Oct-2023 to 31-Dec-2023,21195 National MPLS KRA SAMEER BUSINESS PARK TO VRF [RT#44616],116426,501120.0,116426_21195,LTK
2023-10-06,20954,01-Oct-2023 to 31-Dec-2023,20954 National MPLS KRA EGERTON UNIVERSITY NJORO TO VRF [RT#44277],116426,174000.0,116426_20954,LTK
2023-10-06,20103,01-Oct-2023 to 31-Dec-2023,20103 Leased_Circuits_Naticnal KRA WILSON AIRPORT TO VRF,116426,79866.0,116426_20103,LTK
2023-10-06,5611,01-Oct-2023 to 31-Dec-2023,05611 National MPLS Msa link vlan 460 customs,116426,71835.9,116426_5611,LTK
2023-10-06,1750,01-Oct-2023 to 31-Dec-2023,01750 National MPLS KRA - TIMES TOWERS TO VRF,116426,939600.0,116426_1750,LTK
